Owner Agency,Project ID,School,Description,Agency,FY-2009,FY-2010,FY-2011,FY-2012,FY-2013,FY-2014
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N8001C,Multi School,DCPS TECHNOLOGY INFRASTRUCTURE UPGRADE,DCPS,,,,$0,"$5,715,815","$427,980"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NZ837C,Multi School,THIS PROJECT ENCOMPASSES FACILITY UPGRAD,DCPS,"$35,593",,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,OFM08C,Multi School,PUBLIC ED FACILITY MODERNIZATION PLH,DCPS,"$2,492,742",$0,"-$2,492,742",$0,$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG101A,Multi School,ROOF REPLACEMENTS,DCPS,,$0,"$4,705",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG101C,Multi School,ROOF REPLACEMENTS,DCPS,"$1,197,699","$130,311","$8,317",$0,$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG102C,Multi School,BOILER REPLACEMENT,DCPS,,,,"-$20,126","$51,269",
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG102C,Multi School,BOILER REPLACEMENT,DCPS,"$1,123,110",$0,$0,,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG102C,Multi School,BOILER REPLACEMENT,DCPS,"$211,426","$379,998","$487,121",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG104C,Multi School,HVAC,DCPS,,"$27,533","$16,755",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG104C,Multi School,HVAC REPLACEMENT,DCPS,,,,"$13,094",$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG104C,Multi School,HVAC REPLACEMENT,DCPS,"$1,373,843","$56,899","$530,815","$7,523",$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG105C,Multi School,UNDERGROUND STORAGE TANKS,DCPS,"$276,745","$6,709",$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG106C,Multi School,WINDOW REPLACEMENT,DCPS,,,,"$2,926,896","$3,529,854","$216,829"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG106C,Multi School,WINDOW REPLACEMENT,DCPS,"$1,433,793",$0,$0,$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG106C,Multi School,WINDOW REPLACEMENT,DCPS,$0,"$2,080,631","$4,629,773",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG120C,Multi School,GENERAL IMPROVEMENT,DCPS,"$7,400",$0,,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG121C,Multi School,PK8 RENOVATION (SCHOOL CONSOLIDATION),DCPS,"$8,986,058","$237,400",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG122C,Multi School,RECEIVING SCHOOL BLITZ (SCHOOL CONSOLIDA,DCPS,,,,$0,"$6,376,976","$225,600"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG122C,Multi School,RECEIVING SCHOOL BLITZ (SCHOOL CONSOLIDA,DCPS,"$1,927,067","$763,689",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG123C,Multi School,RELOCATION AND FF&E (SCHOOL CONSOLIDATIO,DCPS,"$1,414,316",$0,"$1,052,385",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG138C,Multi School,GENERAL IMPROVEMENTS,DCPS,"$3,498,163","$294,675",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG301C,Multi School,CARPET REPLACEMENT,DCPS,"$29,941",$0,$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG302C,Multi School,ELECTRICAL MODIFICATIONS,DCPS,,,,"$75,372","$7,292",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG302C,Multi School,ELECTRICAL MODIFICATIONS,DCPS,"$166,847","$439,656","$92,173",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG303C,Multi School,ADA COMPLIANCE,DCPS,,,,"$70,429","$20,000",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG303C,Multi School,ADA COMPLIANCE,DCPS,"$1,982,754",$0,,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG303C,Multi School,ADA COMPLIANCE,DCPS,"$120,939","$2,426,051","$1,315,151",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG304C,Multi School,LIFE AND SAFETY,DCPS,"$118,562",$0,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG304C,Multi School,LIFE AND SAFETY,DCPS,,$0,"$16,503",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG305C,Multi School,MODERNIZATION,DCPS,,,,"$204,953",$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG305C,Multi School,MODERNIZATION,DCPS,"$5,809,971","$1,043,305","$250,040","$7,896",$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG305C,Multi School,MODERNIZATION,DCPS,"$30,077","$1,689,843","$350,783","$175,532",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG306C,Multi School,INTERIOR FINISH PROGRAM,DCPS,"$272,740","$8,637",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG307C,Multi School,EMERGENCY PROJECTS,DCPS,"$50,760","$36,324",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG321C,Multi School,MISCELLANEOUS ASBESTO,DCPS,"$84,662",$0,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG412C,Multi School, ONGOING INITIATIVES,DCPS,"$10,934,912","-$15,141",$0,"-$83,424",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG412C,Multi School,ONGOING INITIATIVES,DCPS,"-$10,344,065",,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SK120C,Multi School,ATHLETIC FAC. IMPROVEMENT,DCPS,,,,$0,$0,"$217,215"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SK120C,Multi School,ATHLETIC FAC. IMPROVEMENT,DCPS,"$398,303","-$87,312",$0,$0,$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK120C,Multi School,ATHLETIC FACILITIES,DCPS,"$8,527,633","$11,736,445","$971,888",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK134C,Multi School,WARD 8 PLAYGROUNDS,DCPS,,"$140,945","$627,998",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,T2241C,Multi School,STUDENT INFORMATION SYSTEM,PCS,,,$0,"$122,418","$169,327","$372,183"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,T2242C,Multi School,ENTERPRISE RESOURCE PLANNING,DCPS,,,$0,"$969,075","$22,302","$1,114"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,T2243C,Multi School,E-RATE,DCPS,"$302,321","$921,511","$904,546",,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,T2299C,Multi School,DCPS PEOPLESOFT - M.L.,DCPS,"$3,966,910","$1,240,763","$382,209","$57,142",$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY130C,Multi School,MODERNIZATIONS UNDERWAY,DCPS,,,,"-$24,814",,"$24,814"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY130C,Multi School,MODERNIZATIONS UNDERWAY,DCPS,$0,"$538,866","-$514,061",$0,"-$24,805",
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY131C,Multi School,HIGH SCHOOL MODERNIZATIONS,DCPS,,,,"-$24,805",,"$24,805"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY131C,Multi School,HIGH SCHOOL MODERNIZATIONS,UDC,,"-$599,964","$624,769",$0,"-$24,805",
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY132C,Multi School,ELEMENTARY/MIDDLE SCHOOLS MODERNIZATION,DCPS,,,,"-$24,805",,"$24,805"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY132C,Multi School,ELEMENTARY/MIDDLE SCHOOLS MODERNIZATION,DCPS,$0,"$457,498","-$432,693",$0,"-$24,805",
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY133C,Multi School,SELECTIVE ADDITIONS & NEW CONSTRUCTION,DCPS,,,,"-$24,805",,"$24,805"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY133C,Multi School,SELECTIVE ADDITIONS & NEW CONSTRUCTION,DCPS,"$59,355","-$13,390","-$21,160",$0,"-$24,805",
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY158C,Multi School,SPECIAL PROJECTS,DCPS,,,,"$1,346,699","$111,538","$113,167"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY230C,Multi School,STABILIZATION,DCPS,,,,"-$56,325",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY230C,Multi School,STABILIZATION,DCPS,"$2,135,234","-$1,726,204","-$352,705",$0,"-$56,325",
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY330C,Multi School,LEGAL/FINANCE/CONSULTING,DCPS,"$600,000",$0,"$77,515",,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY630C,Multi School,PLANNING,DCPS,,,,$0,"$220,252","$13,654"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,YY630C,Multi School,PLANNING,DCPS,"$2,146,888","-$2,055,698","$1,682,015",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI533C,MURCH ES, DEMOUNTABLES,DCPS,,,,"$174,831",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI533C,MURCH ES, DEMOUNTABLES,DCPS,,$0,"$225,169",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY150C,NALLE ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$9,492,349","$1,874,133","$32,084"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI531C,NOYES ES ,DEMOUNTABLES,DCPS,,"$23,540",$0,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK131C,OYSTER ADAMS ,ATHLETIC FACILITY,DCPS,,$0,"$145,491",,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI521C,OYSTER-ADAMS,Unspecified,DCPS,$0,"$13,053",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY151C,PEABODY ES ,RENOVATION/MODERNIZATION,DCPS,,,,$0,"$6,685,699","$43,102"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NL937C,PHELPS HS, MODERNIZATION/RENOVATION,DCPS,$0,$0,"$545,784",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NL937C,PHELPS SHS ,MODERNIZATION/RENOVATION,DCPS,"$2,287,503",$0,,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY152C,POWELL ES ,RENOVATION/MODERNIZATION,DCPS,,,,"$277,002","$6,519,245","$905,292"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI530C,RABAUT JHS ,SMALL CAPITAL PROJECT,DCPS-PCS,,"$71,000",,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG407C,RANDLE HIGHLAND ES,Unspecified,DCPS,"$22,783",,,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG407C,RANDLE HIGHLAND ES,Unspecified,DCPS,"$1,384","-$1,384",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NM337C,RANDLE HIGHLANDS,MODERNIZATION/RENOV,DCPS,$0,$123,"$198,849",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY1RTC,RIVER TERRACE ,SPECIAL EDUCATION CENTER,DCPS,,,,,$0,"$407,035"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,ZBR37C,ROOSEVELT ,QZAB AT ROOSEVELT - CAPITAL,DCPS-CAPITAL,,$0,"$94,531",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,ZBR38C,ROOSEVELT ,QZAB AT ROOSEVELT - OPERATING,DCPS-OPERATING,,$0,"$437,403",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NR939C,ROOSEVELT HIGH SCHOOL,/CULINARY,DCPS,,,,"$10,000","$3,015,129","$1,326,089"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GI552C,ROSE/RENO SCHOOL ,SMALL CAP PROJECT,DCPS,,,,"$569,959","$674,984","$297,412"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY153C,ROSS ES ,RENOVATION,DCPS,,,,"$1,756,542","$738,851",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NN138C,SAVOY ELEMENTARY SCHOOL,Unspecified,DCPS,"$7,021,077",$0,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NN110C,SAVOY ES,Unspecified,DCPS,"$172,768","$5,332",$486,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NN137C,SAVOY ES,MODERNIZATION/RENOV,DCPS,"$4,114,972",$0,,,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NN110C,SAVOY ES , LIFE SAFETY CODE COMPLIANCE,DCPS,"$111,958","$8,000",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NN137C,SAVOY ES ,MODERNIZATION,DCPS,"$10,518,800","$2,960,083","$49,513","-$971,959",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG437C,SAVOY/MARSHALL ,MODERNIZATION,DCPS-PCS,"$466,587","$101,062",$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX237C,SCHOOL W/O WALLS ,MODERNIZATION/RENOV,DCPS,"$2,893,890","$104,868","$4,920",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX237C,SCHOOL WITHOUT WALLS ,MODERNIZATION/RENOV,DCPS,"$26,893,529","$2,715,093","$4,920","$437,770",$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SE337C,SEATON ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$518,058",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SE337C,SEATON ES MODERNIZATION/RENOVATION,,DCPS,,,"$3,780,867",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI527C,SHARPE HEALTH ,SMALL CAP PROJECT,DCPS,,"$2,400",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY171C,SHEPHERD ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,"$10,366,110","$1,922,686"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY156C,SIMON ES ,RENOVATION,DCPS,,,,"$4,458,177","$3,182,972","$44,344"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NO337C,SOUSA MS,MODERNIZATION/RENOV,DCPS,"$36,152","$48,508","$55,947",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NO337C,SOUSA MS ,COMPLETE MODERNIZATION/RENOVATION,DCPS,"$593,809","$8,775",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,OA737C,STODDERT ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$2,077",$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,OA737C,STODDERT ES ,MODERNIZATION/RENOVATION,DCPS,"$114,240","$15,682,473","$2,770,087","$138,541",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,OA738C,STODDERT ES ,PUBLIC RECREATION CENTER,DCPS-REC,,$0,"$1,750",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,OA738C,"STODDERT ES, ",PUBLIC RECR CENTER - JOINT,DCPS-REC,"$4,440,968","$345,450",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI540C,STUART HOBSON MS ,I.T./ARTS & SCIENCE,DCPS,,,,"$4,098",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI540C,STUART HOBSON MS ,I.T./ARTS & SCIENCE,DCPS,,"$974,071","$295,896","-$4,306",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY157C,STUART HOBSON MS ,RENOVATION,DCPS,,,,"$9,881,312","$9,488,628","$1,662,573"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TK337C,TAKOMA ES ,RENOVATION/MODERNIZATION,DCPS,,,,"$16,190,422",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,TK337C,TAKOMA ES ,RENOVATION/MODERNIZATION,DCPS,,,"$8,995,082",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NP537C,THOMAS ELEMENTARY,Unspecified,DCPS,$0,"$3,867,224","$638,492",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NP537C,THOMAS ES,MODERNIZATION/RENOV,DCPS,,,,$0,"$466,680","$233,320"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NP537C,THOMAS ES,MODERNIZATION/RENOV,DCPS,"$19,668",$0,$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NP637C,THOMSON ES,MODERNIZATION/RENOV,DCPS,$0,$0,"$2,084",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PL337C,TRUESDELL ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,"$217,578",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PL337C,TRUESDELL ES ,MODERNIZATION/RENOVATION,DCPS,,"$3,229,013","$1,018,454",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK124C,TUBMAN ES ,ATHLETIC FACILITY,DCPS,,"$17,273",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TU337C,TURNER ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$21,258,074","$3,399,940",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,TU337C,TURNER ES ,MODERNIZATION/RENOVATION,DCPS,,,"$2,169,419",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PT337C,TYLER ES ,MODERNIZATION,DCPS,,"$4,131,276","$411,653",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,UDC01C,UNIVERSITY OF THE DISTRICT OF COLUMBIA,Unspecified,UDC,,"$6,916,056","$1,053,580",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX637C,W WILSON SHS ,MODERNIZATION/RENOVATION,DCPS,,,,"$7,970,317","$503,849",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX637C,W WILSON SHS ,MODERNIZATION/RENOVATION,DCPS,"$788,312","$34,421,703","$71,528,917","$232,360",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NQ337C,WALKER JONES ES ,MODERNIZATION/RENOVATION,DCPS,"$23,307,165","$780,331","$629,276","-$305,598",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NQ937C,WHEATLEY ES , MODERNIZATION/RENOV,DCPS,"$5,809,216","$140,915","$163,923",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NQ937C,WHEATLEY ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$452,216","$17,372",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NQ937C,WHEATLEY ES ,MODERNIZATION/RENOVATION,DCPS,"$13,364,060","$4,978,963","$2,049,573","$417,373",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,WT337C,WHITTIER EC, MODERNIZATION/RENOVATION,DCPS,,"$3,628,794","$612,686",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,WT337C,WHITTIER EC ,MODERNIZATION/RENOVATION,DCPS,,,,"$2,163,594","$64,538",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM0HA0,WOODROW WILSON ,NATARIUM/POOL,DCPS,"$18,484,405","$1,367,547",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NR637C,WOODSON HS,Unspecified,DCPS,"$997,816","$27,230,018","$59,424,233","$126,281",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NR637C,WOODSON HS , MODERNIZATION/RENOV,DCPS,,,,"$4,413,072","$394,817",
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NR637C,WOODSON HS , MODERNIZATION/RENOV,DCPS,"$880,773","$1,726,654","$1,365,755","$17,538",$0,
,TOTAL,,,,"$319,191,038","$309,568,318","$319,265,166","$280,077,047","$366,087,612","$81,189,642"
