OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
108,Key Elementary School,5001 DANA PLACE NW,Elementary School,ES,Active,202-729-3280,,386, ,dcps_272,http://www.keyschooldc.org,294605,272,272,N,,1929,,,,391283.15,139885.29,294605,20016,-77.100527,38.926802
109,Brent Elementary School,301 NORTH CAROLINA AVENUE SE,Elementary School,ES,Active,202-698-3363,,347, ,dcps_212,http://www.brentelementary.org,294479,212,212,N,276,1968,47500,325,203,399873.34,135218.08,294479,20003,-77.00146,38.884801
110,Eaton Elementary School,3301 LOWELL STREET NW,Elementary School,ES,Active,202-282-0103,,457, ,dcps_232,http://www.eatondc.org/,294562,232,232,N,418,1911,49100,400,412,394293.04,140540.3,294562,20008,-77.065821,38.932727
111,Kimball Elementary School,3375 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6260,,313, ,dcps_259,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294565,259,259,N,474,1942,83400,400,321,403681.18,135028.21,294565,20019,-76.957573,38.883083
112,Van Ness Elementary School,1150 5TH STREET SE,Elementary School,ES,Active,202-698-3818,,,,dcps_972,,294508,,,,,,,,,400065.6,134329.49,294508,20003,-76.999244,38.876796
113,Shaw Middle School,2001 10TH STREET NW,Middle School,MS,Not Open,202-673-7329,,,,dcps_971,,294533,,,,,,,,,397767,138853.23,294533,20001,-77.025749,38.917545
114,MacFarland Middle School,4400 IOWA AVENUE NW,Middle School,MS,Not Open,,,,,dcps_973,,294595,,,,,,,,,397592.04,141746.55,294595,20011,-77.027776,38.943609
115,New North Middle School,6201 5TH STREET NW,Middle School,MS,Not Open,,,,,dcps_974,,294614,,,,,,,,,398332.71,144216.17,294614,20011,-77.019239,38.965857
116,Brookland Middle School,1150 MICHIGAN AVENUE NE,Middle School,MS,Active,202-576-6095,,, ,dcps_975,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294507,975,975,N,,,,,,400775.13,141176.41,294507,20017,-76.991059,38.938476
117,Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,Elementary School,ES,Active,202-576-6095,,304, ,dcps_346,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286131,346,346,N,,,,,,401300.77,141569.11,286131,20017,-76.984996,38.942012
118,Columbia Heights Education Campus 9â€“12 (CHEC),3101 16TH STREET NW,High School//Specialized,HS,Active,202-939-7700,0,429, ,dcps_976,http://www.checdc.org,234375,475,475,N,,,,,,396890.8,140185.59,234375,20010,-77.035858,38.929545
119,Dorothy I. Height Elementary School,1300 ALLISON STREET NW,Elementary School,ES,Active,202-723-4100,,,,dcps_977,http://profiles.dcps.dc.gov/,255251,,,,,,,,,397352.45,141867.84,255251,20011,-77.030541,38.9447
120,River Terrace Education Campus,420 34TH STREET NE,Special Education,EC,Active,202-442-7111,,,,dcps_978,http://profiles.dcps.dc.gov/,294485,,,,,,,,,403660.17,136398.67,294485,20019,-76.957808,38.895429
121,MacFarland Middle School Dual Language @ Roosevelt,4301 13TH STREET NW,Middle School,MS,Not Open,,,,,dcps_979,,252605,,,,,,,,,397468.88,141682.3,252605,20011,-77.027776,38.943609
122,Empowering Males High School,4800 MEADE STREET NE,High School,HS,,,,,,dcps_980,,294601,,,,,,,,,405836.91,137635.93,294601,20019,-76.932705,38.906563
