"LEA ID
(SY14-15)","School ID(s)
(SY14-15)","School Name(s)
(SY14-15)",Grade Levels ,"School Address(es)
(SY14-15)","Former DCPS Facility Name 
(If applicable, SY14-15)","Maximum Occupancy
(SY14-15, Reported By PCSB)","Total Square Footage 
(SY14-15, Reported By PCSB)","Number of Students Enrolled, 
(SY14-15 Audited Enrollment from OSSE, reported by PCSB)"," Square Footage per Student
(Total Square Footage / Total Enrollment)","LEA Enrollment Ceiling
(As of Nov. 2014, Reported By PCSB)","Percentage of LEA Enrollment Ceiling Filled 
(LEA Enrollment / LEA Enrollment Ceiling)",FACILITY NOTES,,,,,
125,161,Perry Street Preparatory PCS,PK3-12,"1800 Perry Street, NE",Taft," 	1,250 "," 	171,000 ", 	619 , 	276 ," 	1,050 ",59%,"Total bldg. sq. ft. is 194,300 sq. ft. so 171,000 should be the portion used by Perry St, not including the portion used by LAMB.",,,,,
139,117,Potomac Preparatory PCS,ES/MS,"4401 8th Street, NE",N/A, 	650 ," 	42,016 ", 	425 , 	99 , 	384 ,111%,,,,,,
167,3067,Richard Wright PCS for Journalism and Media Arts,MS/HS,"770 M Street, SE",N/A, 	398 ," 	28,000 ", 	305 , 	92 , 	475 ,64%,,,,,,
140,173,Roots PCS,ES,"15 Kennedy Street, NW",N/A, 	70 ," 	9,000 ", 	95 , 	109 , 	120 ,79%,"These two locations are reported together.  Call Roots to get students per facility and verify the single school ID number.   6222 N. Cap. NW looks like 9,000  sq. ft. and 15 Kennedy St. NW looks like the 1,374 . Sq. ft. .  These buildings are 7 or 8 blocks away from each other;  6222 No. Cap. has early childhood play equipment on asphalt; 15 Kennedy St. is a very small storefront.  95 students total in 2014-15.",,,,,
140,173,Roots PCS,ES,"6222 North Capitol Street, NW",N/A, 	160 ," 	1,374 ",,,,,"These two locations are reported together.  Call Roots to get students per facility and verify the single school ID number.   6222 N. Cap. NW looks like 9,000  sq. ft. and 15 Kennedy St. NW looks like the 1,374 . Sq. ft. .  These buildings are 7 or 8 blocks away from each other;  6222 No. Cap. has early childhood play equipment on asphalt; 15 Kennedy St. is a very small storefront.  95 students total in 2014-15.",,,,,
142,174,"SEED Public Charter School of Washington, DC",MS/HS,"4300 C Street, SE",Weatherless, 	488 ," 	48,128 ", 	336 , 	143 , 	500 ,67%,"Former DCPS Weatherless is now one of 3 substantial buildings.  It is now dorms. It seems to belong to SEED as it is not listed with leased properties.  It is 4 stories and should be about the same size as Drew or Aiton, which are 60,000 and 70,000 sq. ft.  Even not counting  residential space, 48,000 seems short for SEED's total  academic and athletic space.  ",,,,,
174,197,Sela PCS,ES,"6015 Chillum Place, NE",N/A,N/A,N/A, 	86 ,N/A, 	164 ,52%,Call for sq. footage.  This is two addresses in the same building; each school has abot half the building;  If we could get total sq. ft. half would be close.  Co-location with Shining Stars Montessori Academy PCS,,,,,
166,3066,Shining Stars Montessori Academy PCS,PK3-K,"6017 Chillum Place, NE",N/A,N/A,N/A, 	118 ,N/A, 	124 ,95%,Call for sq. footage.  This is two addresses in the same building; each school has abot half the building;  If we could get total sq. ft. half would be close.  Co-location with Se;a PCS,,,,,
175,187,Somerset Preparatory Academy PCS,MS,"3301 Wheeler Road, SE",M.C. Terrell/McGogney Elementary School," 	1,149 "," 	112,000 ", 	240 , 	467 , 	420 ,57%,,,,,,
143,1047,St. Coletta Special Education PCS,SPED ,"1901 Independence Avenue, SE",N/A, 	525 ," 	99,540 ", 	252 , 	395 , 	250 ,101%,,,,,,
145,168,The Next Step/El Proximo Paso PCS*,ALT,"3047 15th Street, NW",N/A, 	375 ," 	31,352 ", 	363 , 	86 , 	350 ,104%,"Shares space with LAYC.  Adult program. 
Proposed enrollment ceiling to 400. Board will vote on increase to enrollment ceiling at December 15 meeting.",,,,,
146,191,Thurgood Marshall Academy PCS,HS,"2427 Martin Luther King Jr. Avenue, SE",Nichols Avenue School, 	416 ," 	63,625 ", 	395 , 	161 , 	420 ,94%,,,,,,
147,183,Tree of Life PCS,ES/MS,"2315 18th Place, NE",N/A," 	1,393 "," 	28,076 ", 	286 , 	85 , 	540 ,53%,,,,,,
149,198,Two Rivers PCS (Elementary and Middle Schools),ES/MS,"1227 4th Street, NE ",N/A, 	537 ," 	33,076 ", 	518 , 	98 , 	750 ,69%,The 2 buildings are across the street from each other; their enrollment is reported together.  Check on grade levels in each building. To allocate students.  ,,,,,
149,198,Two Rivers PCS (Elementary and Middle Schools),ES/MS,"1234 4th Street, NE",N/A, 	149 ," 	17,929 ",,,,,The 2 buildings are across the street from each other; their enrollment is reported together.  Check on grade levels in each building. To allocate students.  ,,,,,
151,125,Washington Latin PCS Middle School,MS,"5200 2nd Street, NW",Rudolph, 	835 ," 	35,040 ", 	366 , 	96 , 	784 ,47%,670 total enrolment in 2014-15; ;64299 sq. ft. total  for 106  sq. ft. per student total.,,,,,
151,1118,Washington Latin PCS Upper School (HS),HS,"5201 2nd Street, NW",Rudolph, 	835 ," 	29,280 ", 	304 , 	96 ,,,670 total enrolment in 2014-15; ;64299 sq. ft. total  for 106  sq. ft. per student total.,,,,,
152,178,Washington Mathematics Science Technology PCHS,HS,"1920 Bladensburg Road, NE",N/A, 	420 ," 	49,116 ", 	335 , 	147 , 	420 ,80%,,,,,,
160,1117,Washington Yu Ying PCS,ES,"220 Taylor Street, NE",N/A, 	610 ," 	41,118 ", 	528 , 	78 , 	588 ,90%,,,,,,
153,210,"William E. Doar, Jr. PCS for the Performing Arts",ES/MS,"705 Edgewood Street, NE",N/A, 	560 ," 	46,835 ", 	439 , 	107 , 	905 ,49%,,,,,,
131,128,Youthbuild PCS*,ALT,3014 14th St NW,N/A, 	100 ," 	11,709 ", 	112 , 	105 , 	115 ,97%,Adult program,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
122,160,Washington Hospitality Foundation,HS,1851 9th Street NW,, 	347 ," 	29,300 ",171, 	171 , 	225 ,76%,"Washington Hospitality is unique, and not a charter school. It should be reported separately as an OSSE-controlled school.",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Note(s:) 
1) * Indicates a charter school that serves adult population. Adult public schools have a different model for serving students compared to the traditional KG-12 public schools. Adult students attend school at different times of the day, in shifts. Thus, the total enrollment number for the school doesn't represent how many students occupy the building all at once, and instead represent how many students attend school in the building.  Briya is primarily adult but includes a small portion of PK3 and PK4 students who attend school simultaneously with their parents.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source(s):
1) LEA ID(s), School ID(s), School Name(s) reported by OSSE via School and Lea Information Management System file (SLIMS).
2) School addresses and former DCPS facility names were verified by DME and PCSB.
3) Maximum occupancy numbers and total square footage numbers reported by PSCB. This information is collected through charter school facilities' Certificate of Occupancy (C of O), which charter schools are required to submit to PCSB in October if one is not already on file. PCSB then follows up with any missing charter facility C's of O between October-February of each year.  The maximum occupancy count number describes how many people can legally occupy the building stated on the facility's C of O. 
4) SY14-15 Audited enrollment, informed by OSSE. 
5) LEA enrollment ceiling is reported by PCSB. This number is set by a school's Charter Agreement and subsequent amendments, which state the maximum number of students for which a school receives payment.  Please note, Charters may submit written requests to DC PCSB Board to increase the maximum enrollment of the school. The DC PCSB Board reviews the charter school using a set of criteria, prior to voting, to approve or not approve the request. ",,,,,,,,,,,,,,,,,
