School Names,,Grade Levels for 15-16 school year feeder pattern,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Type of Project,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget,
JO WILSON,J O Wilson Elementary School,ES," 	97,825 ","98,896",,," 	32,583,551 ",0.97%,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Unsatisfactory,FALSE,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.67,3,JO WILSON,PARTIAL MOD,"$4,264,356",$0,$0,"$4,264,356",$43,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,264,356",
Johnson,John Hayden Johnson Middle School,MS," 	170,451 ","182,496",,," 	56,773,819 ",5.41%,Good,1,Poor,5,Poor,5,Poor,5,Good,1,Poor,5,Good,1,Poor,5,Fair,3,Good,1,N/A,FALSE,Poor,5,Poor,5,Good,1,Good,1,Good,1,No,,,,,,,,,5,3.13,3,JOHNSON,PARTIAL MOD,"$7,943,410","$229,198","$10,429,627","$18,602,234",$102,$0,"-$5,857",$0,$0,$0,$0,$0,"-$5,857",-$0.03,"$20,521,528",
Kelly Miller,Kelly Miller Middle School,MS," 	120,265 ","114,992",Increase may reflect portables.,2004," 	40,057,866 ",0.02%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.63,1,KELLY MILLER,FULL REPLACEMENT,"$10,614,880",$0,$0,"$10,614,880",$92,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,614,880",
Ketcham,Ketcham Elementary School,ES," 	92,343 ","88,288",,," 	30,757,606 ",0.15%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,5,KETCHAM,PARTIAL MOD,"$8,328,373",$318,$0,"$8,328,691",$94,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,336,451",
Key,Key Elementary School,ES," 	63,290 ","50,000",Increase may reflect portables.,2003," 	21,080,633 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,4,KEY,FULL MOD + ADD,"$13,007,488",$0,$0,"$13,007,488",$260,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$13,007,488",
Kimball,Kimball Elementary School,ES," 	72,274 ","83,392",,," 	24,073,024 ",2.17%,Good,1,Good,1,Fair,3,Poor,5,Good,1,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Fair,3,Good,1,Good,1,Poor,5,No,1.00%,4.40%,0.16%,0.04%,0.43%,2013,0.00%,0.0117016462466922,5,3.59,5,KIMBALL,STABILIZED,$0,$0,$0,$0,$0,"$17,696,000",$0,$0,$0,$0,$0,$0,"$17,696,000",$212.20,"$17,696,000",
Kramer,Kramer Middle School,MS," 	131,865 ","153,984","Does 153,984 include the Kramer maintenance annex for  at 19,800?",," 	43,921,594 ",0.11%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,0.00%,0.30%,1.22%,0.00%,1.52%,2013,0.52%,0.00107612669487302,5,2.00,5,KRAMER,PARTIAL MOD,"$1,154,024","$18,718,900","$11,078,853","$30,951,777",$201,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$35,059,047",
Lafayette,Lafayette Elementary School,ES," 	106,574 ","113,600",Increase may reflect portables.,," 	35,497,668 ",1.79%,Fair,3,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Poor,5,Good,1,Poor,5,Good,1,Fair,3,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,No,0.87%,0.00%,2.13%,0.03%,2.15%,2013,0.00%,0.00919340957088992,5,2.60,4,LAFAYETTE,FULL MOD + ADD,$0,"$495,164","$9,443,842","$9,939,007",$87,"$56,144,000","$3,229,105",$0,$0,$0,$0,$0,"$59,373,105",$522.65,"$78,650,000",
Langdon,Langdon Education Campus,ES," 	117,308 ","101,392",,," 	39,072,949 ",4.68%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Fair,3,Fair,3,Poor,5,Poor,5,Good,1,N/A,FALSE,No,Fair,0.00%,0.04%,0.03%,2.18%,2013,0.00%,0.0459231479183292,5,3.27,4,LANGDON,PARTIAL MOD,$0,"$9,811,112","$10,017,134","$19,828,246",$196,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$20,824,380",
Langley,Langley Education Campus,ES," 	93,680 ","100,000",,," 	31,202,934 ",2.05%,Fair,3,N/A,FALSE,Good,1,Fair,3,Good,1,Fair,3,Good,1,Poor,5,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Yes,1.00%,0.00%,0.00%,0.00%,4.00%,2013,0.00%,0.01,1,2.00,1,LANGLEY,PARTIAL MOD,"$10,253,618",$0,$0,"$10,253,618",$103,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,273,670",
LaSalle,LaSalle Backus Education Campus,ES/MS," 	55,011 ","63,000",,," 	18,323,064 ",4.65%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.82,0,LASALLE,PARTIAL MOD,"$13,644,477","$561,818",$0,"$14,206,295",$225,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$14,545,500",
Leckie,Leckie Elementary School,ES," 	64,697 ","65,000",,," 	21,549,277 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,2,LECKIE,PARTIAL MOD,"$595,860",$0,$0,"$595,860",$9,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$595,860",
LOGAN - Cap. Hill Montessori @ Logan,Capitol Hill Montessori @ Logan ES/MS,ES/MS,,"47,200",CITY-WIDE MONTESSORI PK3-8TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGAN,STABILIZED,$0,"$260,256","$715,611","$975,866",$21,$0,"$35,136",$0,$0,"$11,952,000",$0,$0,"$11,987,136",$253.96,"$14,637,256",
Ludlow-Taylor,Ludlow Taylor Elementary School,ES," 	58,639 ","66,896",,," 	19,531,478 ",2.29%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Poor,5,Good,1,Good,1,No,0.00%,0.00%,0.00%,0.00%,0.14%,2013,0.30%,0.022808955229242,5,1.93,0,LUDLOW-TAYLOR,PARTIAL MOD,"$10,764,854","$482,461","$242,487","$11,489,803",$172,"-$1,026,290",$0,$0,$0,$0,$0,$0,"-$1,026,290",-$15.34,"$11,762,825",
Luke Moore,Luke Moore High School,ALT," 	65,751 ","65,528",,2006," 	21,900,343 ",0.02%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,No,,,,,,,,,5,1.27,0,,FULL MOD + ADD,,,,$0,$0,,,,,,,,$0,$0.00,,
M.M. WASHINGTION,closed,NA,,"89,700",Now Senior Housing - not in DCPS inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.M. WASHINGTION,NA,"$18,696",$0,$0,"$18,696",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$18,696",
MACFARLAND,swing space ,NA,,"110,00",SWING SPACE for Roosevelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACFARLAND,STABILIZED,"$874,564",$0,$0,"$874,564",,"$7,624,500",$0,"$25,487,500","$16,914,000",$0,$0,$0,"$50,026,000",,"$53,650,564",
Malcolm X ,closed Malcolm X Elementary School ,NA," 	94,038 ","110,800","110,800 sq. ft. is for Malcolm X; Green we have as 77,700 sq. ft.; Malcolm X has less than $1 million expenditures listed in the main spread sheet but it does not show here",," 	31,322,177 ",0.60%,Good,1,N/A,FALSE,Good,1,Poor,5,Fair,3,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,No,0.57%,0.33%,0.00%,0.03%,0.69%,2013,0.00%,0.000329127824890169,5,2.00,2,MALCOLM X,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0,
MAMIE D. LEE SPED CNTR,CLOSED 2015-16,NA,,"45,800",Closed 2015; leased to charters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAMIE D. LEE SPED CNTR,STABILIZED,"$150,000",$0,$0,"$150,000",$3,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$150,000",
Mann,Mann Elementary School,ES," 	22,314 ","60,969","22,314 is before modernization ; new classroom wing and atrium are complete; gym/cafeteria ",2015," 	7,432,347 ",1.91%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.53,2,MANN,FULL MOD + ADD,"$8,124,813","$10,084,367","$16,356,182","$34,565,362",$567,"-$500,000",$0,$0,$0,$0,$0,$0,"-$500,000",-$8.20,"$37,197,238",
Marie Reed,Marie Reed Elementary School,ES," 	155,117 ","162,688",,," 	51,666,370 ",0.00%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Poor,5,Poor,5,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Good,1,Fair,3,No,0.00%,0.82%,1.63%,0.00%,0.27%,2013,0.13%,0,5,3.13,2,MARIE REED,STABILIZED,"$2,249,898","$286,299","$433,901","$2,970,097",$18,"$34,453,000",$0,"$20,050,000",$0,$0,$0,$0,"$54,503,000",$335.02,"$64,904,196",
MARSHALL,CLOSED ES,NA,,"103,800",CLOSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARSHALL,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0,
Martin Luther King,King Elementary School,ES," 	61,737 ","65,496",,," 	20,563,360 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,MARTIN LUTHER KING,STABILIZED,"$3,800,074","$38,256","$280,426","$4,118,755",$63,$0,"$372,458",$0,$0,$0,$0,$0,"$372,458",$5.69,"$6,567,738",
Maury,Maury Elementary School,ES," 	48,128 ","46,800",,," 	16,030,474 ",1.81%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.38,0,MAURY,PARTIAL MOD,"$5,641,979","$749,562","$52,854","$6,444,395",$138,"$5,044,000",$0,$0,$0,$0,$0,$0,"$5,044,000",$107.78,"$12,620,745",
MC TERRELL,CLOSED ES,NA,,"112,000",Now a charter school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC TERRELL,STABILIZED,"$1,706,121",$0,$0,"$1,706,121",$15,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,706,121",
McKinley HS,McKinley Technology High School,HS," 	665,642 ","282,200","665,642 must simply be an error.  We've had Mckinly at 282,200 with the McKinley MS is 62,000 sq. ft.  ",McKinley HS opened 2005; Mckinley MS opened 2013," 	221,712,037 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,MCKINLEY,FULL MOD,"$74,506,934","$2,659,423","$216,187","$77,382,544",$274,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$77,443,210",
McKinley MS,McKinley Middle School,,,"62,000",,Opened 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL MOD,,,,,,,,,,,,,,,,
MINER,Miner Elementary School,ES,,"76,896",,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINER,FULL REPLACEMENT,"$6,391,359",$0,$0,"$6,391,359",$83,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,391,359",
MONTGOMERY/KIPP,CLOSED,NA,,"73,700",Now KIPP   - which has added considerable sq. footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTGOMERY/KIPP,STABILIZED,"$6,934,511",$0,$0,"$6,934,511",$94,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,934,511",
Moten,Moten Elementary School,ES," 	97,094 ","99,696",,2012," 	32,340,070 ",0.04%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,MOTEN,FULL MOD,"$26,739,968","$957,864","$19,160","$27,716,993",$278,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,856,881",
Murch,Murch Elementary School,ES," 	53,673 ","47,696","53,673 must include some of the demountables; new school will be much larger",," 	17,877,403 ",0.02%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,N/A,FALSE,No,0.00%,0.02%,0.23%,0.00%,1.51%,2013,0.00%,0.000213878941713214,5,2.38,5,MURCH,STABILIZED,$0,$0,"$748,083","$748,083",$16,"$30,400,000",$0,"$32,756,000",$0,$0,$0,$0,"$63,156,000","$1,324.14","$68,294,774",
Nalle,Nalle Elementary School,ES," 	65,418 ","83,900",,," 	21,789,427 ",2.17%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,2,NALLE,PARTIAL MOD,"$11,366,481","$154,926",$0,"$11,521,407",$137,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$11,570,572",
NEW ELEM #1,,NA,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ELEM #1,NA,"$73,028",$0,$0,"$73,028",,$0,$0,$0,$0,$0,$0,$0,$0,,"$73,028",
Noyes,Noyes ES - Former PK3-8,ES," 	78,524 ","51,496",must include demountables,2004," 	26,154,774 ",1.17%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,4,NOYES,FULL MOD + ADD,"$24,719,301",$0,$0,"$24,719,301",$480,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$24,719,301",
Orr,Orr Elementary School,ES," 	62,947 ","75,900","We've used 75,888  for years; 2010 MFP has 75,900",," 	20,966,387 ",4.07%,Fair,3,N/A,FALSE,Poor,5,Poor,5,Poor,5,Poor,5,Good,1,Poor,5,Fair,3,Good,1,N/A,FALSE,Good,1,Fair,3,N/A,FALSE,Poor,5,Fair,3,No,3.98%,3.17%,1.33%,0.44%,0.11%,2013,0.00%,0.000916342916875583,5,3.57,3,ORR,STABILIZED,$0,$0,$0,$0,$0,"$1,000,000",$0,"$26,359,000","$14,636,000",$0,$0,$0,"$41,995,000",$553.29,"$44,995,000",
Oyster-ADAMS,Oyster-Adams Bilingual School (Oyster),ES," 	61,865 ","47,984","Does 61,865 include the parking?",2001," 	20,605,994 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,3,,FULL REPLACEMENT,,,,$0,$0,,,,,,,,$0,$0.00,,
P.R.HARRIS,CLOSED,NA,," 	348,700 ",NOW CHARTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.R.HARRIS,STABILIZED,$700,$0,$0,$700,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$700,
Patterson,Patterson Elementary School,ES," 	81,741 ","76,896",,2004," 	27,226,292 ",0.01%,Fair,3,N/A,FALSE,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,No,,,,,,,,,5,1.75,3,PATTERSON,FULL REPLACEMENT,"$5,365,870",$0,$0,"$5,365,870",$70,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,365,870",
Payne,Payne Elementary School,ES," 	61,493 ","83,792","No addition with the modernization; no portables, why this discrepancy?",," 	20,482,088 ",2.46%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Fair,3,Poor,5,Fair,3,Fair,3,Fair,3,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,No,1.02%,0.75%,1.60%,0.88%,2.96%,2013,0.02%,0.0143741504125641,5,2.33,3,PAYNE,FULL MOD,$0,"$14,553,326","$7,835,887","$22,389,213",$267,$0,"$27,450",$0,$0,$0,$0,$0,"$27,450",$0.33,"$27,815,086",
Peabody,Peabody Elementary School,PK3-K," 	35,391 ","37,800",,," 	11,788,034 ",1.67%,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,No,1.02%,0.50%,0.73%,0.07%,0.07%,2013,0.00%,0.00651489876732866,5,1.63,3,PEABODY,PARTIAL MOD,"$6,685,699","$161,712","$181,405","$7,028,816",$186,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$7,099,258",
Phelps,"Phelps Architecture, Construction, and Engineering High School",HS," 	170,801 ","146,976","atrium addition, at modernization",2008," 	56,890,397 ",0.04%,N/A,FALSE,Fair,3,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.63,4,,FULL MOD + ADD,,,,$0,$0,,,,,,,,$0,$0.00,,
Plummer,Plummer Elementary School,ES," 	66,032 ","69,392",,," 	21,993,939 ",1.27%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Fair,3,No,1.27%,1.60%,0.00%,0.00%,3.19%,2013,0.13%,0,5,1.63,4,PLUMMER,PARTIAL MOD,$0,"$12,638,785","$1,208,148","$13,846,933",$200,$0,"$26,191",$0,$0,$0,$0,$0,"$26,191",$0.38,"$14,299,544",
Powell,Powell Elementary School,ES," 	62,970 ","76,848","76,848 will be the size of the new school when the additions are completed. 21CSF GSF is probably correct for 2016",," 	20,974,048 ",0.61%,Fair,3,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Fair,3,Good,1,Fair,3,Fair,3,Good,1,No,,,,,,,,,5,2.38,0,POWELL,FULL MOD + ADD,"$6,796,246","$1,583,355","$17,111,375","$25,490,976",$332,"$2,500,000","$4,026",$0,$0,$0,$0,$0,"$2,504,026",$32.58,"$44,744,174",
Prospect - Goding,School Within School @ Goding ES ,ES," 	61,873 ","59,200",former Prospect special ed center,," 	20,608,659 ",0.20%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Fair,3,Good,1,No,0.06%,0.02%,1.28%,0.26%,2.74%,2013,0.00%,0.00145035202106339,5,2.20,5,PROSPECT,PARTIAL MOD,$0,"$812,491","$552,996","$1,365,487",$23,"-$16,673","$107,604",$0,$0,"$11,938,000",$0,$0,"$12,028,931",$203.19,"$16,383,000",
RANDLE HIGHLANDS,,ES,,"72,476",,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANDLE HIGHLAND,FULL REPLACEMENT,"$8,391,223",$0,$0,"$8,391,223",$116,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,391,223",
Raymond,Raymond Education Campus,ES/MS," 	65,306 ","73,600",,," 	21,752,122 ",1.92%,Fair,3,Fair,3,Good,1,Fair,3,Poor,5,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,N/A,FALSE,Poor,5,Poor,5,Fair,3,Fair,3,N/A,FALSE,No,0.18%,0.04%,0.70%,2.90%,0.22%,2013,0.00%,0.0174364051300616,5,3.27,0,RAYMOND,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,"$3,000,000","$16,567,000",$0,$0,"$19,567,000",$265.86,"$19,567,000",
RH TERRELL,DEMOLISHED,NA,,"143,700",DEMOLISHED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RH TERRELL,DEMOLISHED,"$1,446,215",$0,$0,"$1,446,215",$10,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,446,215",
RIVER TERRACE,River Terrace Sp. Ed. ,SPED,,"77,707",IN CONSTRUCTION,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVER TERRACE,FULL MOD + ADD,$0,"$8,983,285","$23,150,421","$32,133,707",$414,"-$2,200,000",$0,$0,$0,$0,$0,$0,"-$2,200,000",-$28.31,"$35,717,175",
RON BROWN,CLOSED,NA,,"156,000",CLOSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RON BROWN,STABILIZED,$0,$0,$0,$0,$0,"$29,654,000",$0,"$14,943,000",$0,$0,$0,$0,"$44,597,000",$285.88,"$47,347,000",
Roosevelt,Roosevelt High School,HS," 	332,294 ","331,840",did they reduce GSF of 1970s library and turn it into parking and day care?,2015," 	110,680,486 ",0.54%,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,No,0.00%,0.01%,0.00%,0.20%,2.19%,2013,0.79%,0.00544669638164052,5,2.75,0,ROOSEVELT,FULL MOD + ADD,"$5,197,256","$24,711,419","$87,106,923","$117,015,598",$353,"$1,693,000","$194,406",$0,$0,$0,$0,$0,"$1,887,406",$5.69,"$143,557,836",
Ross,Ross Elementary School,ES," 	20,270 ","22,400",,," 	6,751,532 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,ROSS,PARTIAL MOD,"$2,608,367","-$3,701",$0,"$2,604,666",$116,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,612,974",
RUDOLPH,CLOSED,NA,,"84,400",NOW CHARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUDOLPH,STABILIZED,"$100,000",$0,$0,"$100,000",$1,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$100,000",
Savoy,Savoy Elementary School,ES," 	73,483 ","86,800","Check. The entire school at 110,00, includes structured parking ( sq. ft?); 6,900 sq ft. library; 26,000 sq ft. addition in gym/auditorium shared with Thurgood Marshall Academy PCS;  DCPS in 2015 has the school listed at 86,800",2009," 	24,475,718 ",0.02%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,No,,,,,,,,,5,1.75,0,SAVOY,FULL MOD + ADD,"$21,059,646",$0,$0,"$21,059,646",$243,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$21,059,646",
School Without Walls,School Without Walls High School,HS," 	60,334 ","74,000"," OPEFM report for April 2011 gives 74,000, not earlier 68,000. Other sources give 66,404. ",2009," 	20,096,049 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,,FULL MOD + ADD,,,,$0,$0,,,,,,,,$0,$0.00,,
Seaton,Seaton Elementary School,ES," 	66,624 ","65,000",,," 	22,191,122 ",0.08%,Good,1,Good,1,Fair,3,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.63,0,SEATON,PARTIAL MOD,"$4,298,925",$0,$0,"$4,298,925",$66,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,302,057",
SHARP HEALTH,Former Sp Ed. School,ALT,,"80,500","Sharpe shared with Bridges Charter 20140-15, STAY shared with Bridges Charter 2015-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHARP HEALTH,STABILIZED,"$2,089,951",$0,$0,"$2,089,951",$26,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,089,951",
SHAW,CLOSED,NA,,"230,400",closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAW,STABILIZED,"$10,000",$0,$0,"$10,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,000",
