Campus Name,Campus/Facility Name,Ward,First & Last Day of School ,Website,Main Phone Number,Twitter,Facebook,Board Chair Name,Board Chair Title,Exec# Director Name,Exec# Director Title,Principal Name,Principal Title,Location 1
KIPP DC - Connect Academy PCS,KIPP DC – Connect Academy PCS,5,8/10/15-6/16/16,www.kippdc.org,202-396-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Donny Tiengtum,School Leader,"1375 Mount Olivet Road NE
20002
(38.908236, -76.980749)"
KIPP DC - Discover Academy PCS,KIPP DC – Discover Academy PCS,8,8/10/15-6/16/16,www.kippdc.org,202-678-7735,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Philonda Johnson,Principal,"2600 Douglass Road SE
20020
(38.857316, -76.98723)"
KIPP DC - Grow Academy PCS,KIPP DC – Grow Academy PCS,6,8/10/15-6/16/16,www.kippdc.org,202-986-4769,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Lauren Ellis,School Leader,"421 P Street NW
20001
(38.909635, -77.017369)"
KIPP DC - Heights Academy PCS,KIPP DC – Heights Academy PCS,8,8/10/15-6/16/16,www.kippdc.org,202-610-5323,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Gaelan Gallagher,School Leader,"2600 Douglass Road SE
20020
(38.857316, -76.98723)"
KIPP DC - KEY Academy PCS,KIPP DC – KEY Academy PCS,7,8/10/15-6/16/16,www.kippdc.org,202-582-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,David Ayala,School Leader,
KIPP DC - Lead Academy PCS,KIPP DC – Lead Academy PCS,6,8/10/15-6/16/16,www.kippdc.org,202-223-4505,@KIPPDCLE,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Mekia Love,School Leader,"421 P Street NW
20001
(38.909635, -77.017369)"
KIPP DC - LEAP Academy PCS,KIPP DC – LEAP Academy PCS,7,8/10/15-6/16/16,www.kippdc.org,202-582-5327,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Abraham Clayman,School Leader,"4801 Benning Road SE
20019
(38.882495, -76.933802)"
KIPP DC - Northeast Academy PCS,KIPP DC – Northeast Academy PCS,5,8/10/15-6/16/16,www.kippdc.org,202-398-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,John Barnhardt,School Leader,"1375 Mount Olivet Road NE
20002
(38.908236, -76.980749)"
KIPP DC - Promise Academy PCS,KIPP DC – Promise Academy PCS,7,8/10/15-6/16/16,www.kippdc.org,202-582-1390,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Andhra Lutz,School Leader,"4801 Benning Road SE
20019
(38.882495, -76.933802)"
KIPP DC - Quest Academy PCS,KIPP DC – Quest Academy PCS,7,8/10/15-6/16/16,www.kippdc.org,202-397-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Cherese Brauer,School Leader,"5300 Blaine Street NE
20019
(38.891694, -76.9255)"
KIPP DC - Spring Academy PCS,KIPP DC – Spring Academy PCS,5,8/10/15-6/16/16,www.kippdc.org,202-397-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Lindsey Hoy,School Leader,"1375 Mount Olivet Road NE
20002
(38.908236, -76.980749)"
KIPP DC – Valor Academy PCS,KIPP DC – Valor Academy PCS,7,8/10/15-6/16/16,www.kippdc.org,202-397-5477,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Gillian Connor,School Leader,"5300 Blaine Street NE
20019
(38.891694, -76.9255)"
KIPP DC - WILL Academy PCS,KIPP DC – WILL Academy PCS,6,8/10/15-6/16/16,www.kippdc.org,202-328-9455,@KIPPdc,https://www.facebook.com/KIPPDC,Terry Golden,Board Chair,Susan Schaeffler; Amanda Borden; Allison Fansler,Founder/CEO; Policy Director and Senior Advisor; President and COO,Tiffanie Williams,School Leader,"421 P Street NW
20001
(38.909635, -77.017369)"
Latin American Montessori Bilingual PCS,Latin American Montessori Bilingual PCS [Missouri],4,8/31/15-6/17/16,www.lambpcs.org,202-726-6200,@LAMBPCS,https://www.facebook.com/LAMBPCS,Barrie Lynn Tapia,Board Chair,Diane Cottman,Executive Director,Cristina Encinas,Principal,"1375 Missouri Avenue NW
20011
(38.961939, -77.032432)"
Latin American Montessori Bilingual PCS,Latin American Montessori Bilingual PCS [South Dakota],5,8/31/15-6/17/16,www.lambpcs.org,202-525-5105,@LAMBPCS,https://www.facebook.com/LAMBPCS,Barrie Lynn Tapia,Board Chair,Diane Cottman,Executive Director,Cristina Encinas,Principal,"1800 Perry Street NE
20018
(38.936172, -76.979833)"
LAYC Career Academy PCS,LAYC Career Academy PCS,1,,www.laycca.org,202-319-2228,@THELAYC,facebook.com/layccareeracademy,Ken Robinson,Board Chair,Nicole Hanrahan,Executive Director,Angela Stepancic,Principal,"3047 15th Street NW
20009
(38.928483, -77.036087)"
Lee Montessori Public Charter School,Lee Montessori PCS,5,8/24/15-6/15/16,www.leemontessori.org,202-779-9740,@LeeMontessori,https://www.facebook.com/LMPCS,Dominique Fortune,Board Chair,Chris Pencikowski,Head of School,Megan Hubbard,Principal,"301 Douglas Street NE
20002
(38.92344, -77.001605)"
Mary McLeod Bethune Day Academy PCS,Mary McLeod Bethune Day Academy PCS,5,8/31/15-8/31/15,www.mmbethune.org,202-459-4710 ext. 600,@MMBDAPCS,https://www.facebook.com/MMBDAPCS,Valerie Smith,Board Chair,Linda McKay,Executive Director,Jubria Lewis,Principal,"1404 Jackson Street NE
20017
(38.929847, -76.98547)"
Mary McLeod Bethune Day Academy PCS,Mary McLeod Bethune Day Academy PCS [16th St],4,8/31/15-8/31/15,www.mmbethune.org,202-459-4710 ext. 600,@MMBDAPCS,https://www.facebook.com/MMBDAPCS,Valerie Smith,Board Chair,Linda McKay,Executive Director,Jubria Lewis,Principal,"5412 16th Street NW
20011
(38.95561, -77.036452)"
Maya Angelou - Young Adult Learning Centre,Maya Angelou PCS – Young Adult Learning Center,7,9/1/15-8/5/16,www.seeforever.org,202-289-8898,@MayaSchools,https://www.facebook.com/seeforeverfoundation,Jane Dimyan-Ehrenfeld,Board Chair,"Heather D. Wathington, PhD",Chief Executive Officer,Sarah Navarro,Director,"5600 East Capitol Street NE
20019
(38.889795, -76.921881)"
Maya Angelou PCS - Evans High School,Maya Angelou PCS – High School,7,8/31/15-6/16/16,www.seeforever.org,202-379-4335,@MayaSchools,https://www.facebook.com/seeforeverfoundation,Jane Dimyan-Ehrenfeld,Board Chair,"Heather D. Wathington, PhD",Chief Executive Officer,Tameika Ashford,Principal,"5600 East Capitol Street NE
20019
(38.889795, -76.921881)"
Meridian PCS,Meridian PCS [13th Street],1,8/24/15-6/17/16,www.meridian-dc.org,202-387-9830,@meridianpcs,facebook.com/pages/Meridian-Public-Charter-School/237392112967,Christopher Siddall,Board Chair,Tamara Cooper,Head of Schools,Michelle Taylor,Interim Principal,"2120 13th Street NW
20009
(38.918727, -77.02962)"
Meridian PCS,Meridian PCS [14th Street],1,8/24/15-6/17/16,www.meridian-dc.org,202-387-9830,@meridianpcs,facebook.com/pages/Meridian-Public-Charter-School/237392112967,Christopher Siddall,Board Chair,Tamara Cooper,Head of Schools,Michelle Taylor,Interim Principal,"3031 14th Street NW
20009
(38.928418, -77.032612)"
Monument Academy PCS,Monument Academy PCS,6,,www.monumentacademy.org,?,N/A,N/A,?,Board Chair,?,Executive Director,?,Principal,"500 19th Street NE
20002
(38.896118, -76.977263)"
Mundo Verde Bilingual PCS,Mundo Verde Bilingual PCS,5,8/26/15-6/15/16,www.mundoverdepcs.org,202 750-7060,@MundoVerdePCS,facebook.com/MundoVerdePCS,Sara Elliott,Board Chair,Kristin Scotchmer,Executive Director,Dahlia Aguilar,Principal,"30 P St NW
20001
(38.909643, -77.010225)"
National Collegiate Preparatory PCHS,National Collegiate Preparatory PCHS,8,8/31/15-6/16-16,www.nationalprepdc.org,202-832-7737,@NationalPrep,https://www.facebook.com/pages/National-Collegiate-Preparatory-Public-Charter/327711307752,Walter Pryor,Board Chair,"Jennifer L. Ross, MSW, LCSW",Founder & Executive Director,"Dr.Dianne Brown, Ed.D.",Chief Academic Officer,"4600 Livingston Road SE
20032
(38.823873, -77.002184)"
Next Step/El Próximo Paso PCS,The Next Step/El Próximo Paso PCS,1,,www.nextsteppcs.org,202-319-2249,@thenextsteppcs,https://www.facebook.com/TNSPCS,Rachel Sussman,Board Chair,Julie Meyer,Executive Director,Arturo Martinez,Day School Principal,"3047 15th Street NW
20009
(38.928483, -77.036087)"
Paul PCS - International High School,Paul PCS – International High School,4,8/25/15-6/16/16,www.paulcharter.org,202-291-7499,@PaulPCS,https://www.facebook.com/PaulPublicCharter,Roberta Colton,Board Chair,Jami Dunham,Chief Executive Officer,Kenya Wilson,Principal,"5800 8th Street NW
20011
(38.960164, -77.024192)"
Paul PCS - Middle School,Paul PCS – Middle School,4,8/25/15-6/16/16,www.paulcharter.org,202-291-7499,@PaulPCS,https://www.facebook.com/PaulPublicCharter,Roberta Colton,Board Chair,Jami Dunham,Chief Executive Officer,Danielle Singh,Principal,"5800 8th Street NW
20011
(38.960164, -77.024192)"
Perry Street Preparatory PCS,Perry Street Preparatory PCS,5,8/24/15-6/17/16,www.pspdc.org,202-529-4400,@PerryStreetPrep,https://www.facebook.com/PerryStreetPrep,Cynthia Brown,Board President,Shadwick Jenkins,Head of School,Rachal Crouch,Principal,"1800 Perry Street NE
20018
(38.936172, -76.979833)"
Potomac Preparatory PCS,Potomac Preparatory PCS,5,8/24/15-6/16/16,www.potomacprep.org,202-526-6003,@potomacprep,https://www.facebook.com/potomacprep,Nicholette Smith-Bligen,Board Chair,Dr. Marian Whitehood,Principal,Dr. Marian White-Hood,Principal,"4401 8th Street NE
20017
(38.942988, -76.994806)"
Richard Wright PCS for Journalism and Media Arts,Richard Wright PCS for Journalism and Media Arts,6,8/24/15-6/10/16,www.richardwrightpcs.org,202-388-1011,@RWPCSJMA,https://www.facebook.com/pages/Richard-Wright-Public-Charter-School-for-Journalism-and-Media-Arts/120875394605285?ref=hl,"Rhonda Wells-Wilbon, Ph.D.",Board Chair,"Marco Clark, Ph.D.",Head of School/CEO,"Marco Clark, Ph.D.",Founder/CEO/Head of School,"770 M Street SE
20003
(38.876539, -76.995354)"
Rocketship DC PCS,Rocketship DC PCS,8,Opening August 2016,www.rsed.org/dc/,202-750-6402,N/A,N/A,Joey Sloter,Board Chair,?,Executive Director,Josh Pacos,Principal,
Roots PCS,Roots PCS,4,9/8/15-6/17/15,www.rootspcs.org,202-882-8073,@RootsPCS,https://www.facebook.com/RootsPublicCharter,Gilda Sherrod-Ali,Board Chair,"Bernida Thompson, Ed.D.",Principal,"Bernida Thompson, Ed.D.",Founding Principal,"15 Kennedy Street NW
20011
(38.956576, -77.010205)"
"SEED PCS of Washington, DC","SEED PCS of Washington, DC",7,8/31/15-6/9/16,www.seedschooldc.org,202-248-7773,@TheSEEDSchoolDC,facebook.com/pages/The-SEED-School-of-Washington-DC/123730994320225,Vasco Fernandes,Board Chair,Dr. Adrian Manuel,Head of School,Sean McDonald,Principal,"4300 C Street SE
20019
(38.886536, -76.945327)"
Sela PCS,Sela PCS,4,8/24/15-6/17/16,www.selapcs.org,202-670-7352,@selapcs,https://www.facebook.com/SelaPCS,"Jessica Lieberman, Ph.D.",Board Chair,"Natalie Arthurs, Ph.D.",Head of School,"Natalie Arthurs, Ph.D.",Head of School,"6015 17 Chillum Place NE
20011
(38.962716, -77.006984)"
Shining Stars Montessori Academy PCS,Shining Stars Montessori Academy PCS,4,8/24/15-6/10/16,www.shiningstarspcs.org/,202-723-1467,@shiningstarpcs,facebook.com/ssmapcs,Allison Brown,Board Chair,Regina Rodriguez-Mitchell,Executive Director,Regina Rodriguez-Mitchell,Executive Director,"6017 Chillum Place NE
20011
(38.962716, -77.00698)"
Somerset Preparatory Academy PCS,Somerset Preparatory Academy PCS,8,8/24/15-6/10/16,www.somersetdc.com/,202-562-9104,@SomersetPrepDC,www.facebook.com/somersetprepdc,Jud Starr,Board Chair,James (Jim) Griffin,Principal/Chief Administrative Officer,James (Jim) Griffin,Principal,"3301 Wheeler Road SE
20032
(38.842164, -76.993957)"
St. Coletta Special Education PCS,St. Coletta Special Education PCS,7,8/25/15-7/28/16,www.stcoletta.org,202-350-8680,@STCOLETTASCHOOL,https://www.facebook.com/pages/St-Coletta-of-Greater-Washington/101618584490,Peggy OBrien,Board Chair,Sharon Raimo,Executive Director,Janice Corazza,Principal,"1901 Independence Avenue SE
20003
(38.88761, -76.973158)"
Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,8,8/24/15-6/13/16,www.thurgoodmarshallacademy.org,202-563-6862,@TMAtalks,https://www.facebook.com/thurgoodmarshallacademy,Kannon Shanmugam,Board Chair,"Alexandra Pardo, Ed.D.",Executive Director,"Alexandra Pardo, Ed.D.",Academic Director,"2427 Martin Luther King Jr Avenue SE
20020
(38.862159, -76.993257)"
Two Rivers PCS,Two Rivers PCS [Elementary],6,8/31/15-6/17/16,www.tworiverspcs.org,202-546-4477,@TwoRiverPCS,https://www.facebook.com/tworiverspcs,Pam Jackson,President,Jessica Wodatch,Executive Director,Caroline Mwendwa-Baker,Elementary School Principal,"1227 4th Street NE
20002
(38.906741, -77.000576)"
Two Rivers PCS,Two Rivers PCS [Middle],6,8/31/15-6/17/16,www.tworiverspcs.org,202-543-8477,@TwoRiverPCS,https://www.facebook.com/tworiverspcs,Pam Jackson,President,Jessica Wodatch,Executive Director,Elaine Hou,Middle School Principal,"1234 4th Street NE
20002
(38.906375, -77.00056)"
Two Rivers PCS – Young,Two Rivers PCS – Young,5,8/31/15-6/17/16,www.tworiverspcs.org,202-388-1360,@TwoRiverPCS,https://www.facebook.com/tworiverspcs,Pam Jackson,President,Jessica Wodatch,Executive Director,Guye Turner,Principal,"820 26th Street NE
20002
(38.901856, -76.970218)"
Washington Global PCS,Washington Global PCS,6,8/24/15-6/28/15,www.washingtonglobal.org,Temp: (202) 534-7901,Washglobalpcs,Yes,"Teresa Curristine, Ph.D.",Board Chair,Elizabeth Torres. Ed.D.,Executive Director,"Candice Haney, Ed.D.",Principal,"525 School Street SW
20024
(38.883929, -77.019534)"
Washington Latin PCS - Middle School,Washington Latin PCS – Middle School,4,8/24/15-6/10/16,www.latinpcs.org,202-223-1111,@WLPCS,https://www.facebook.com/pages/Washington-Latin-Public-Charter-School/266576123388394,Chinesom Ejiasa,Board Chair,Martha Cutts,Head of School,Diana Smith,Principal,"5200 2nd Street NW
20011
(38.953318, -77.013516)"
Washington Latin PCS - Upper School,Washington Latin PCS – Upper School,4,8/24/15-6/10/16,www.latinpcs.org,202-223-1111,@WLPCS,https://www.facebook.com/pages/Washington-Latin-Public-Charter-School/266576123388394,Chinesom Ejiasa,Board Chair,Martha Cutts,Head of School,Diana Smith,Principal,"5200 2nd Street NW
20011
(38.953318, -77.013516)"
Washington Leadership Academy PCS,Washington Leadership Academy PCS,,Opening August 2016,,?,N/A,N/A,?,Board Chair,?,Executive Director,?,Principal,
Washington Mathematics Science Technology PCHS,Washington Mathematics Science Technology PCHS,5,8/31/15-6/17/16,www.wmstpchs.org,202-636-8011,N/A,N/A,Jeneen Y. Ramos,President,"NDeye Diagne, Ph.D.",Head of School,"NDeye Diagne, Ph.D.",Head of School,"1920 Bladensburg Road NE
20002
(38.916371, -76.973331)"
Washington Yu Ying PCS,Washington Yu Ying PCS,5,8/31/15-6/22/16,www.washingtonyuying.org,202-635-1950,@YuYingPCS,https://www.facebook.com/WashingtonYuYingPCS,Maurice Smith,Board Chair,Maquita Alexander,Head of School,Maquita Alexander,Head of School,"220 Taylor Street NE
20017
(38.94074, -77.004112)"
"William E. Doar, Jr. PCS for the Performing Arts","William E. Doar, Jr. PCS for the Performing Arts",5,8/24/15-6/16/16,www.wedjschool.us,202-269-4646,@WEDJPCS,facebook.com/PCSARTS,Cindy Gertz,Board Chair,Andrew Kirkland,Chief of Operations,Andrew Touchette,Resident Academic Leader,"705 Edgewood Street NE
20017
(38.925387, -76.995543)"
YouthBuild PCS,YouthBuild PCS,1,9/9/15-6/24/16,www.youthbuildpcs.org,202-319-0141,@youthbuildpcs,https://www.facebook.com/youthbuildpcs,Mark Jordan,Board Chair,Andrew Touchette,Head of School,Andrew Touchette,Principal,"3014 14th Street NW
20009
(38.927803, -77.032536)"
